full_name,email,phone,age,city,state,country,department,employee_id,salary
Valery Larsen,valery.larsen8615@example.com,5603969086,33,Bangalore,TN,India,Engineering,EMP100000,1807968
Raul Goodman,raul.goodman5866@example.com,0032647481,47,Chennai,TN,India,Engineering,EMP100001,1846668
Annie Orr,annie.orr8378@example.com,4830842009,18,Chennai,MH,India,Finance,EMP100002,1484949
Hayden Frederick,hayden.frederick2045@example.com,1770072542,39,Delhi,TN,India,Finance,EMP100003,1527661
Meilani Gonzales,meilani.gonzales6636@example.com,8442951371,25,Hyderabad,DL,India,Sales,EMP100004,689860
Byron Lamb,byron.lamb8873@example.com,3815468314,26,Delhi,KA,India,Engineering,EMP100005,349563
Terrance Pena,terrance.pena9199@example.com,8139216287,20,Mumbai,DL,India,Engineering,EMP100006,1859639
Jayda Kennedy,jayda.kennedy9075@example.com,7613067310,51,Delhi,DL,India,HR,EMP100007,1502957
Amaia Bautista,amaia.bautista5188@example.com,3561523321,35,Mumbai,DL,India,Finance,EMP100008,1839382
Aurora Jones,aurora.jones3391@example.com,3533415269,41,Hyderabad,KA,India,Sales,EMP100009,715896
Araceli Cook,araceli.cook5363@example.com,9502408147,50,Delhi,DL,India,Engineering,EMP100010,1689833
Alec Dejesus,alec.dejesus7683@example.com,8185082143,36,Bangalore,TN,India,Finance,EMP100011,1279573
Edward Arias,edward.arias4163@example.com,6699669595,45,Chennai,KA,India,Finance,EMP100012,1097783
Enoch Barton,enoch.barton7774@example.com,8345123180,28,Bangalore,TN,India,HR,EMP100013,462205
Sutton Goodman,sutton.goodman4880@example.com,1513284841,56,Chennai,DL,India,HR,EMP100014,326672
Lara Norton,lara.norton9844@example.com,1064654755,31,Delhi,DL,India,Sales,EMP100015,1201552
Alena Randall,alena.randall2909@example.com,8522299662,30,Delhi,MH,India,Sales,EMP100016,328941
Axl Wilcox,axl.wilcox2765@example.com,3502109437,55,Hyderabad,TS,India,Engineering,EMP100017,334028
